"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1839","Check displaying of empty courses list","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","2081","Registration with correct email, username and password","LMS system","2026-09-10","passed","2026-09-10","Registration","Authentication","",""
"","1894","Navigation from login page to registration page","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","2042","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","3336","User login with correct email and password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","3958","Edit course","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","1987","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","3003","Create course","LMS system","2026-09-10","passed","2026-09-10","Courses","Courses","",""
"","1644","User login with wrong email or password","LMS system","2026-09-10","passed","2026-09-10","Authorization","Authentication","",""
"","1886","Check displaying of dashboard page","LMS system","2026-09-10","passed","2026-09-10","Dashboard","Dashboard","",""
